episode,agent_peasant_wins
0,0.5492957746478874
1000,0.645412130637636
2000,0.40435458786936235
3000,0.4255663430420712
4000,0.4625199362041467
5000,0.4085667215815486
6000,0.5277337559429477
7000,0.4251592356687898
8000,0.43870967741935485
9000,0.5348101265822784
10000,0.47297297297297297
11000,0.6088957055214724
12000,0.4548335974643423
13000,0.4186046511627907
14000,0.46986089644513135
15000,0.5079113924050633
16000,0.4666666666666667
17000,0.5120845921450151
18000,0.4413145539906103
19000,0.5968
20000,0.47417840375586856
21000,0.5040916530278232
22000,0.6091954022988506
23000,0.5522620904836193
24000,0.5677830940988836
25000,0.45440251572327045
26000,0.6064814814814815
27000,0.5209302325581395
28000,0.5444444444444444
29000,0.534181240063593
