episode,peasant_wins
0,0.582
1000,0.502
2000,0.609
3000,0.639
4000,0.615
5000,0.628
6000,0.656
7000,0.629
8000,0.636
9000,0.642
10000,0.627
11000,0.602
12000,0.626
13000,0.617
14000,0.613
15000,0.581
16000,0.616
17000,0.592
18000,0.61
19000,0.602
20000,0.631
21000,0.648
22000,0.636
23000,0.635
24000,0.52
25000,0.581
26000,0.559
27000,0.585
28000,0.553
29000,0.583
