episode,loss
0,0
1000,3968.2944
2000,24.870796
3000,26.91212
4000,310.7865
5000,161.796
6000,1.941639
7000,60.071342
8000,1857.6244
9000,789.2741
10000,395.5852
11000,1274.8093
12000,4821.3037
13000,152.59705
14000,7.722491
15000,679.1092
16000,156.32498
17000,137.53624
18000,703.0691
19000,338.2143
20000,847.94244
21000,206.02902
22000,666.2807
23000,4.346182
24000,3264.6262
25000,78.23573
26000,2376.9924
27000,1560.6699
28000,3974.8452
29000,248.54762
