episode,agent_landlord_wins
0,0.3601108033240997
1000,0.7563025210084033
2000,0.022408963585434174
3000,0.015706806282722512
4000,0.128686327077748
5000,0.03307888040712468
6000,0.12466124661246612
7000,0.026881720430107527
8000,0.042105263157894736
9000,0.17391304347826086
10000,0.0658682634730539
11000,0.4109195402298851
12000,0.08130081300813008
13000,0.022535211267605635
14000,0.12464589235127478
15000,0.29347826086956524
16000,0.11267605633802817
17000,0.2514792899408284
18000,0.09141274238227147
19000,0.3893333333333333
20000,0.09141274238227147
21000,0.12596401028277635
22000,0.32225063938618925
23000,0.21727019498607242
24000,0.5603217158176944
25000,0.1978021978021978
26000,0.5284090909090909
27000,0.29859154929577464
28000,0.43243243243243246
29000,0.33423180592991913
