episode,agent_landlord_wins
0,0.33240997229916897
1000,0.49299719887955185
2000,0.40336134453781514
3000,0.450261780104712
4000,0.5093833780160858
5000,0.4961832061068702
6000,0.4796747967479675
7000,0.41935483870967744
8000,0.49736842105263157
9000,0.5489130434782609
10000,0.3143712574850299
11000,0.5517241379310345
12000,0.6531165311653117
13000,0.6422535211267606
14000,0.6997167138810199
15000,0.7663043478260869
16000,0.7549295774647887
17000,0.7869822485207101
18000,0.7313019390581718
19000,0.76
20000,0.7008310249307479
21000,0.7866323907455013
22000,0.7800511508951407
23000,0.7855153203342619
24000,0.806970509383378
25000,0.8186813186813187
26000,0.8693181818181818
27000,0.7661971830985915
28000,0.7837837837837838
29000,0.7628032345013477
