episode,peasant_wins
0,0.622
1000,0.569
2000,0.588
3000,0.567
4000,0.586
5000,0.564
6000,0.561
7000,0.574
8000,0.569
9000,0.547
10000,0.601
11000,0.573
12000,0.549
13000,0.525
14000,0.539
15000,0.517
16000,0.531
17000,0.531
18000,0.541
19000,0.523
20000,0.547
21000,0.494
22000,0.515
23000,0.516
24000,0.505
25000,0.509
26000,0.487
27000,0.534
28000,0.52
29000,0.521
