episode,agent_peasant_wins
0,0.458528951486698
1000,0.5069984447900466
2000,0.536547433903577
3000,0.6051779935275081
4000,0.5741626794258373
5000,0.5782537067545305
6000,0.6228209191759112
7000,0.6926751592356688
8000,0.7096774193548387
9000,0.7231012658227848
10000,0.7012012012012012
11000,0.7377300613496932
12000,0.7242472266244057
13000,0.737984496124031
14000,0.740340030911901
15000,0.6867088607594937
16000,0.7224806201550388
17000,0.7265861027190332
18000,0.7245696400625978
19000,0.704
20000,0.6995305164319249
21000,0.7414075286415712
22000,0.7569786535303776
23000,0.6911076443057722
24000,0.722488038277512
25000,0.7138364779874213
26000,0.6805555555555556
27000,0.689922480620155
28000,0.7428571428571429
29000,0.7440381558028617
