episode,agent_landlord_wins
0,0.1329639889196676
1000,0.32492997198879553
2000,0.2801120448179272
3000,0.43717277486910994
4000,0.5120643431635389
5000,0.48346055979643765
6000,0.6856368563685636
7000,0.803763440860215
8000,0.8605263157894737
9000,0.8260869565217391
10000,0.8053892215568862
11000,0.8275862068965517
12000,0.8157181571815718
13000,0.7830985915492957
14000,0.8441926345609065
15000,0.8152173913043478
16000,0.8169014084507042
17000,0.8284023668639053
18000,0.8337950138504155
19000,0.816
20000,0.8476454293628809
21000,0.8226221079691517
22000,0.8414322250639387
23000,0.7994428969359332
24000,0.8257372654155496
25000,0.8351648351648352
26000,0.8210227272727273
27000,0.8084507042253521
28000,0.8432432432432433
29000,0.8355795148247979
