episode,reward
0,0.341
1000,0.442
2000,0.445
3000,0.541
4000,0.551
5000,0.541
6000,0.646
7000,0.734
8000,0.767
9000,0.761
10000,0.736
11000,0.769
12000,0.758
13000,0.754
14000,0.777
15000,0.734
16000,0.756
17000,0.761
18000,0.764
19000,0.746
20000,0.753
21000,0.773
22000,0.79
23000,0.73
24000,0.761
25000,0.758
26000,0.73
27000,0.732
28000,0.78
29000,0.778
