episode,peasant_wins
0,0.575
1000,0.579
2000,0.586
3000,0.584
4000,0.566
5000,0.581
6000,0.595
7000,0.585
8000,0.559
9000,0.549
10000,0.583
11000,0.567
12000,0.584
13000,0.545
14000,0.566
15000,0.585
16000,0.577
17000,0.581
18000,0.583
19000,0.584
20000,0.554
21000,0.565
22000,0.595
23000,0.575
24000,0.597
25000,0.584
26000,0.57
27000,0.572
28000,0.57
29000,0.575
