episode,agent_landlord_wins
0,0.41274238227146814
1000,0.4341736694677871
2000,0.39215686274509803
3000,0.3900523560209424
4000,0.4343163538873995
5000,0.42493638676844786
6000,0.3685636856368564
7000,0.45161290322580644
8000,0.4263157894736842
9000,0.46467391304347827
10000,0.41317365269461076
11000,0.382183908045977
12000,0.4363143631436314
13000,0.4647887323943662
14000,0.43342776203966005
15000,0.45108695652173914
16000,0.4450704225352113
17000,0.4526627218934911
18000,0.44598337950138506
19000,0.424
20000,0.45706371191135736
21000,0.4241645244215938
22000,0.4040920716112532
23000,0.3816155988857939
24000,0.4075067024128686
25000,0.4423076923076923
26000,0.42613636363636365
27000,0.4591549295774648
28000,0.4243243243243243
29000,0.42857142857142855
