episode,reward
0,0.512
1000,0.532
2000,0.509
3000,0.5
4000,0.517
5000,0.522
6000,0.498
7000,0.549
8000,0.503
9000,0.523
10000,0.525
11000,0.485
12000,0.537
13000,0.52
14000,0.519
15000,0.549
16000,0.538
17000,0.549
18000,0.544
19000,0.527
20000,0.523
21000,0.506
22000,0.52
23000,0.49
24000,0.528
25000,0.542
26000,0.518
27000,0.543
28000,0.514
29000,0.522
