episode,agent_peasant_wins
0,0.596244131455399
1000,0.6034214618973561
2000,0.583203732503888
3000,0.5776699029126213
4000,0.6427432216905901
5000,0.6029654036243822
6000,0.5847860538827259
7000,0.5700636942675159
8000,0.6096774193548387
9000,0.6028481012658228
10000,0.5585585585585585
11000,0.6395705521472392
12000,0.6671949286846276
13000,0.6170542635658914
14000,0.6692426584234931
15000,0.6819620253164557
16000,0.6883720930232559
17000,0.6933534743202417
18000,0.6948356807511737
19000,0.6928
20000,0.6870109546165885
21000,0.6726677577741408
22000,0.7044334975369458
23000,0.6848673946957878
24000,0.6905901116427432
25000,0.6965408805031447
26000,0.6805555555555556
27000,0.6992248062015504
28000,0.6984126984126984
29000,0.6883942766295708
