episode,reward
0,0.501
1000,0.564
2000,0.519
3000,0.529
4000,0.593
5000,0.561
6000,0.546
7000,0.514
8000,0.567
9000,0.583
10000,0.477
11000,0.609
12000,0.662
13000,0.626
14000,0.68
15000,0.713
16000,0.712
17000,0.725
18000,0.708
19000,0.718
20000,0.692
21000,0.717
22000,0.734
23000,0.721
24000,0.734
25000,0.741
26000,0.747
27000,0.723
28000,0.73
29000,0.716
